"symbol","resolution","timestamp_utc","volume"
"BHL","1m","2026-03-25T05:18:36.0000000Z","3825"
"BHL","1m","2026-03-25T05:19:38.0000000Z","1525"
"BHL","1m","2026-03-25T05:20:49.0000000Z","1800"
"BHL","1m","2026-03-25T05:21:40.0000000Z","1890"
"BHL","1m","2026-03-25T05:22:51.0000000Z","1760"
"BHL","1m","2026-03-25T05:23:52.0000000Z","32"
"BHL","1m","2026-03-25T05:24:33.0000000Z","2000"
"BHL","1m","2026-03-25T05:25:47.0000000Z","368"
"BHL","1m","2026-03-25T05:26:44.0000000Z","623"
"BHL","1m","2026-03-25T05:27:47.0000000Z","1767"
"BHL","1m","2026-03-25T05:28:38.0000000Z","5217"
"BHL","1m","2026-03-25T05:29:48.0000000Z","11"
"BHL","1m","2026-03-25T05:30:57.0000000Z","6179"
"BHL","1m","2026-03-25T05:31:25.0000000Z","640"
"BHL","1m","2026-03-25T05:32:52.0000000Z","4904"
"BHL","1m","2026-03-25T05:33:59.0000000Z","547"
"BHL","1m","2026-03-25T05:34:51.0000000Z","270"
"BHL","1m","2026-03-25T05:35:54.0000000Z","504"
"BHL","1m","2026-03-25T05:36:55.0000000Z","30"
"BHL","1m","2026-03-25T05:37:47.0000000Z","5770"
"BHL","1m","2026-03-25T05:38:48.0000000Z","1500"
"BHL","1m","2026-03-25T05:39:35.0000000Z","1273"
"BHL","1m","2026-03-25T05:40:53.0000000Z","2300"
"BHL","1m","2026-03-25T05:41:52.0000000Z","3545"
"BHL","1m","2026-03-25T05:42:56.0000000Z","2510"
"BHL","1m","2026-03-25T05:43:35.0000000Z","1400"
"BHL","1m","2026-03-25T05:44:55.0000000Z","1079"
"BHL","1m","2026-03-25T05:45:59.0000000Z","1909"
"BHL","1m","2026-03-25T05:46:41.0000000Z","574"
"BHL","1m","2026-03-25T05:47:48.0000000Z","2138"
"BHL","1m","2026-03-25T05:48:53.0000000Z","851"
"BHL","1m","2026-03-25T05:49:50.0000000Z","2220"
"BHL","1m","2026-03-25T05:50:34.0000000Z","2486"
"BHL","1m","2026-03-25T05:51:41.0000000Z","1005"
"BHL","1m","2026-03-25T05:52:44.0000000Z","3411"
"BHL","1m","2026-03-25T05:53:51.0000000Z","1540"
"BHL","1m","2026-03-25T05:54:39.0000000Z","380"
"BHL","1m","2026-03-25T05:55:51.0000000Z","1397"
"BHL","1m","2026-03-25T05:56:41.0000000Z","2160"
"BHL","1m","2026-03-25T05:58:27.0000000Z","2210"
"BHL","1m","2026-03-25T05:59:59.0000000Z","4176"
"BHL","1m","2026-03-25T06:00:47.0000000Z","180"
"BHL","1m","2026-03-25T06:01:55.0000000Z","585"
"BHL","1m","2026-03-25T06:02:53.0000000Z","4250"
"BHL","1m","2026-03-25T06:03:33.0000000Z","2600"
"BHL","1m","2026-03-25T06:04:18.0000000Z","9070"
"BHL","1m","2026-03-25T06:05:42.0000000Z","3706"
"BHL","1m","2026-03-25T06:06:37.0000000Z","2250"
"BHL","1m","2026-03-25T06:07:34.0000000Z","20"
"BHL","1m","2026-03-25T06:08:59.0000000Z","4566"
"BHL","1m","2026-03-25T06:09:53.0000000Z","6860"
"BHL","1m","2026-03-25T06:10:38.0000000Z","1140"
"BHL","1m","2026-03-25T06:11:54.0000000Z","3349"
"BHL","1m","2026-03-25T06:12:56.0000000Z","280"
"BHL","1m","2026-03-25T06:13:23.0000000Z","1400"
"BHL","1m","2026-03-25T06:14:48.0000000Z","15986"
"BHL","1m","2026-03-25T06:15:58.0000000Z","20"
"BHL","1m","2026-03-25T06:16:37.0000000Z","380"
"BHL","1m","2026-03-25T06:17:37.0000000Z","0"
"BHL","1m","2026-03-25T06:18:57.0000000Z","1220"
"BHL","1m","2026-03-25T06:19:58.0000000Z","929"
