symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes
PCBLP,2021-11-03,2026-04-16,178,False,5,11016900.00,110169.00,100.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
BNHC,2022-01-18,2026-04-17,1518,False,90,10938554.80,30119.00,373.30,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SPC,2021-11-25,2026-04-17,1566,False,90,10861201.45,20865.50,512.05,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SGIC,2023-01-23,2026-04-17,1161,False,90,10754324.05,21741.00,486.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
JBLB,2021-09-01,2026-04-17,1595,True,90,10737118.55,8160.50,1321.00,True,,MICROFINANCE,high,curated_lookup,True,
SJCL,2021-09-01,2026-04-17,1595,True,90,10727222.00,35044.00,304.90,True,,HYDROPOWER,high,curated_lookup,False,
GMFIL,2021-09-01,2026-04-17,1595,True,90,10679550.60,22462.00,479.00,True,,FINANCE,high,curated_lookup,False,
GCIL,2023-08-13,2026-04-17,974,False,90,10401868.05,24047.50,428.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
NMB,2021-09-01,2026-04-17,1595,True,90,10149805.40,43208.00,241.50,True,,COMMERCIAL_BANK,high,curated_lookup,True,
MEHL,2023-09-25,2026-04-17,931,False,90,9965832.15,22288.00,449.45,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
DDBL,2021-09-01,2026-04-17,1595,True,90,9754548.60,11535.00,842.15,True,,MICROFINANCE,high,curated_lookup,True,
