symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes
SAIL,2025-11-24,2026-04-17,141,False,90,116933771.60,88145.00,1342.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
AKPL,2021-09-01,2026-04-17,1595,True,90,114045343.70,400064.00,271.90,True,,HYDROPOWER,high,curated_lookup,True,
SSHL,2021-09-01,2026-04-17,1595,True,90,109646556.10,513194.00,196.00,True,,HYDROPOWER,high,curated_lookup,True,
MFIL,2021-09-01,2026-04-17,1595,True,90,102912176.50,128043.50,820.00,True,,FINANCE,high,curated_lookup,True,
UNHPL,2021-09-01,2026-04-17,1595,True,90,93072515.90,184560.50,497.00,True,,HYDROPOWER,high,curated_lookup,True,
KBL,2021-09-01,2026-04-17,1512,True,90,92922583.70,448175.50,190.50,True,,COMMERCIAL_BANK,high,curated_lookup,True,
AHPC,2021-09-01,2026-04-17,1595,True,90,91205012.30,316539.00,285.05,True,,HYDROPOWER,high,curated_lookup,True,
BANDIPUR,2025-11-11,2026-04-17,154,False,90,88560742.55,95023.50,943.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SHEL,2021-09-01,2026-04-17,1595,True,90,84742493.65,281217.00,305.40,True,,HYDROPOWER,high,curated_lookup,True,
HURJA,2021-09-01,2026-04-17,1595,True,90,83436470.70,295047.00,266.80,True,,HYDROPOWER,high,curated_lookup,True,
SOHL,2026-03-15,2026-04-17,30,False,30,82729393.15,127648.50,660.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
BHL,2022-05-25,2026-04-17,1390,False,90,81477319.20,372301.50,207.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
LEC,2021-09-01,2026-04-17,1595,True,90,80406821.70,357770.00,222.00,True,,HYDROPOWER,high,curated_lookup,True,
NLICP,2021-11-14,2026-02-11,18,False,1,80030000.00,200000.00,413.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
CHDC,2021-09-01,2026-04-17,1595,True,90,77802189.55,33211.00,2461.00,True,,INVESTMENT,high,curated_lookup,False,
HDL,2021-09-01,2026-04-17,1595,True,90,73285745.60,62934.50,1156.50,True,,MANUFACTURING,high,curated_lookup,True,
UPCL,2021-09-01,2026-04-17,1595,True,90,71816238.85,188180.50,382.10,True,,HYDROPOWER,high,curated_lookup,True,
DORDI,2022-07-14,2026-04-17,1354,False,90,71682212.00,245150.50,287.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SMHL,2023-03-05,2026-04-17,1117,False,90,70753129.50,142364.50,509.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
KSBBLP,2022-01-20,2026-03-22,54,False,1,69940000.00,260000.00,269.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
NABBC,2021-09-01,2026-04-17,1579,True,90,67408885.50,47338.50,1463.00,False,known_mutual_fund,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED
MLBLPO,2021-12-27,2026-02-23,47,False,8,65345457.50,338577.50,193.00,False,promoter_share,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED
BPCL,2021-09-01,2026-04-17,1595,True,90,65298626.75,87311.50,733.00,True,,HYDROPOWER,high,curated_lookup,True,
